,string,label,clause1,operator,clause2
0,_ >= ovuHeS_G,0,0,4,0
1,hNGb >= xVTTrpQP,0,0,4,0
2,_ > __tk,0,0,2,0
3,rmxzGBrg > QZL,0,0,2,0
4,zTrtCNGShM = H_xH,0,0,6,0
5,iLS_KzMT < vpuBIII,0,0,3,0
6,cB___fB >= sYgTRsaB,0,0,4,0
7,Z_ < uW,0,0,3,0
8,KFCUTk = f,0,0,6,0
9,_ADSD <= IFyy,0,0,5,0
10,T_BffL <= xOPfb,0,0,5,0
11,Gb >= _jwxIF_,0,0,4,0
12,d > tYU_SI_RZZ,0,0,2,0
13,ZTpYceH <= _b,0,0,5,0
14,T_IYUR = _IWWV,0,0,6,0
15,CJUn_Yf > l,0,0,2,0
16,G_ >= LKg_C_S,0,0,4,0
17,KKVYM <= W_FCX_t,0,0,5,0
18,An < d__o__DF,0,0,3,0
19,U_oEAOY = YpRSnWs__F,0,0,6,0
20,w_gaiN < h,0,0,3,0
21,YIbBd__I = IFVO,0,0,6,0
22,vAayU__cu > Vh,0,0,2,0
23,kExIz <= b,0,0,5,0
24,L_hxYxAWK < _iAw,0,0,3,0
25,INwHZ < _AlnD_OE_y,0,0,3,0
26,iJZJ_u <= yLiuyudBY,0,0,5,0
27,__Hsq < F,0,0,3,0
28,watA__omx > _VmQgrwM_K,0,0,2,0
29,k_DoazWej <= YrX,0,0,5,0
30,K >= ZZtGTYZvr,0,0,4,0
31,_e < _iU,0,0,3,0
32,_cdt_Nbfci >= qwLgS_F_lH,0,0,4,0
33,_kLBd < zKO,0,0,3,0
34,ef__d_PeH > z__QnNT_,0,0,2,0
35,XTwCj_Uc_ < HnNA_Ex,0,0,3,0
36,L_Jx >= __aT_Kv,0,0,4,0
37,rOK__MDt <= rLa,0,0,5,0
38,kD_IMsWd <= b_KWrmjL_,0,0,5,0
39,HnZBX_LS = Eu,0,0,6,0
40,x_xvuLBD_M < _,0,0,3,0
41,hSFQZIc >= G,0,0,4,0
42,nPR <= _Q,0,0,5,0
43,LqBw___Z > gpmQ_T,0,0,2,0
44,_v > _rO_l,0,0,2,0
45,_B >= qGtYOJ,0,0,4,0
46,PqQc >= _XBmcnAUw,0,0,4,0
47,eIa = lGi,0,0,6,0
48,yFiNLmm > rbr,0,0,2,0
49,XwD >= _ziplK,0,0,4,0
50,m_w_yTg_oC < zp_,0,0,3,0
51,LmSQ_x_RU >= tjEZPEZhc,0,0,4,0
52,CdJdz < _TC_Z_FZ_,0,0,3,0
53,HQSRq___Z >= _jIW_kyxkX,0,0,4,0
54,Dep__b_H = oW,0,0,6,0
55,bSppqZfR = lYWIyzLw,0,0,6,0
56,mb_FnHiu >= RaasCdkjB,0,0,4,0
57,PUYYbZdRPY <= h_tE,0,0,5,0
58,CCbVK = _iBV_f,0,0,6,0
59,DHqCcaL < JXn_mjWUq,0,0,3,0
60,uOt_kXa >= iiRYZQ,0,0,4,0
61,VxJ_Wy < nxTgoBE_ZB,0,0,3,0
62,ea_oqeo > _bOjR,0,0,2,0
63,aK = nEzEAnvTY_,0,0,6,0
64,jfn <= MMn,0,0,5,0
65,EkS <= it_PKt,0,0,5,0
66,URj_bLO > _mOVwxR,0,0,2,0
67,AZ_ActGtNz <= __j,0,0,5,0
68,uA >= eOx_xRHs,0,0,4,0
69,_mQ = K,0,0,6,0
70,H <= DwX_,0,0,5,0
71,p = id_N_NRf,0,0,6,0
72,_ALUiP < xkX,0,0,3,0
73,YGw_ <= FPGzv,0,0,5,0
74,n = SZs_cGuB,0,0,6,0
75,_ > zkxsu_Kt,0,0,2,0
76,ONnYDiJ <= wTe_Zunh,0,0,5,0
77,jAVYM_ > a_KO_,0,0,2,0
78,YArPdJt_B < UlEG,0,0,3,0
79,CjXMZWIK_ > XLBLe_D,0,0,2,0
80,sO_Z___ >= SkU__,0,0,4,0
81,T = U_XiI_HRc,0,0,6,0
82,__l_qLkX >= PDppbNzXuf,0,0,4,0
83,Ro_FcUz >= IEn_S_VK,0,0,4,0
84,fgcfj_ = hcCxABjcgj,0,0,6,0
85,rbd < vFJC_Sj,0,0,3,0
86,rt_TG > rmy,0,0,2,0
87,w < w_l,0,0,3,0
88,_W__ <= m,0,0,5,0
89,Gnee__FDXb > heSNy,0,0,2,0
90,fgYia > Tp,0,0,2,0
91,ztVaD = iDOY__nIuH,0,0,6,0
92,bTnP_M_vst <= odmy_fSMq_,0,0,5,0
93,LMyv >= dq,0,0,4,0
94,yXiuO = __Sym_g,0,0,6,0
95,o < XbkTTGA,0,0,3,0
96,NIpj < k_NCbTj_uI,0,0,3,0
97,yN_P > _mFCvL,0,0,2,0
98,iTV_ < ZcobD,0,0,3,0
99,jF < OH__,0,0,3,0
100,pxJ <= azpZKOA,0,0,5,0
101,__cXD <= _FE,0,0,5,0
102,_LOzQNWwtg = EH,0,0,6,0
103,L__y_ZbiU <= B_gl_wqoO,0,0,5,0
104,_yJb_xBr < Amwt,0,0,3,0
105,__tj <= xao_jrOl,0,0,5,0
106,M_vpG = bWr,0,0,6,0
107,To_n_zy = FRCQrUs,0,0,6,0
108,_gly = sLly_g,0,0,6,0
109,Ra >= XMN,0,0,4,0
110,O <= MPmY_Lwhr,0,0,5,0
111,q_c = w,0,0,6,0
112,vgiIxSveO < U__WRrL,0,0,3,0
113,rmRxeA >= YQmxX,0,0,4,0
114,zpkIADA > v,0,0,2,0
115,p > K_kkcYM,0,0,2,0
116,z >= zO_r_w,0,0,4,0
117,F <= ZToArHc_rB,0,0,5,0
118,RkYISN >= Op,0,0,4,0
119,_xqf_ > B,0,0,2,0
120,dmQw__nQ <= N_rb__,0,0,5,0
121,A__yk_k >= MUQxfN__,0,0,4,0
122,C > jhqCGinq,0,0,2,0
123,kJ >= E,0,0,4,0
