,statement,encoding
0,"min _DBT_x_cSE@t=(25,468) > 73**Y_ZDncE@t=(649,967)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
1,FAykgI_@t=175 > PBMEfsWh-25@t=12,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
2,"_Si__VO__@t=(653,735) >= ufN*28@t=(430,494)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
3,"tUPdv_g__m@t=530 > QHBkHfoz_@t=(605,658)","[3, 1, 4, 6, 3, 1, 5]"
4,SjwQYLqR@t=549-24 != YWPB@t=780**77,"[3, 1, 4, 7, 4, 6, 3, 1, 4, 7, 4]"
5,"Zq-97@t=(635,663) == HHZruOyTtO@t=(586,920)/86","[3, 7, 4, 1, 5, 6, 3, 1, 5, 7, 4]"
6,"GuoyRpoJQu@t=(228,247) == 40*CVbSZaLOs@t=593","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
7,"20/__@t=509 == mean JIyv@t=(775,930)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
8,"all _@t=(629,985) > m_CbZ@t=(72,667)","[2, 3, 1, 5, 6, 3, 1, 5]"
9,"IWMnBUbqs@t=(611,751) < 85-eIgSl@t=(36,149)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
10,"min uG@t=(870,921) < SP@t=198","[2, 3, 1, 5, 6, 3, 1, 4]"
11,"ThJY@t=(97,179) <= mean Z_O@t=(333,435)","[3, 1, 5, 6, 2, 3, 1, 5]"
12,"11/sWx@t=(259,790) <= _lnbrw__p-72@t=(299,786)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
13,"_rAiPi_afk@t=(936,956) <= mean dZ@t=(478,859)","[3, 1, 5, 6, 2, 3, 1, 5]"
14,"tSMMu_+1@t=438 != all fMg_j_s@t=(821,850)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
15,"vFDu_**32@t=(201,472) > LUoTTbkK@t=719*72","[3, 7, 4, 1, 5, 6, 3, 1, 4, 7, 4]"
16,"S@t=906-32 > 94/o@t=(400,988)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
17,"HU_lQB@t=872 < nWK**83@t=(65,381)","[3, 1, 4, 6, 3, 7, 4, 1, 5]"
18,"G_FMFKRXo*98@t=541 > EO@t=(183,378)","[3, 7, 4, 1, 4, 6, 3, 1, 5]"
19,"max H@t=(67,993) != 6**VUUINx_eZ_@t=(75,262)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
20,"SxG*96@t=(188,248) <= 10-USn_@t=354","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 4]"
21,"83/oVLKd_v_nV@t=(112,155) != V*21@t=432","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
22,"uw_jpos@t=(842,878) != 92*y_@t=(412,975)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
23,"TCnGl**27@t=157 <= mean BL_@t=(726,972)","[3, 7, 4, 1, 4, 6, 2, 3, 1, 5]"
24,"mean QSKTlvBE@t=(366,517) == 90-Oflin@t=577","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
25,"min N_eY@t=(30,440) >= jkfz@t=419","[2, 3, 1, 5, 6, 3, 1, 4]"
26,"61**XS@t=(21,428) <= __eXwnaJ*93@t=383","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
27,"mean vRE_zCm@t=(8,704) > _zva@t=447","[2, 3, 1, 5, 6, 3, 1, 4]"
28,"min D_oh@t=(196,317) >= _n@t=25-91","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
29,"XSO**4@t=166 == _Y_vvG@t=(438,507)*21","[3, 7, 4, 1, 4, 6, 3, 1, 5, 7, 4]"
30,"mZGa*93@t=15 > 64-kWstBCb@t=(156,955)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
31,"kNvU@t=(287,303) >= 38**_WJwgKWEOR@t=(479,944)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
32,"50/c_LjW_@t=(158,205) < JbU@t=(671,736)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
33,"fNny___KRw@t=(35,295) <= max IQ@t=(153,747)","[3, 1, 5, 6, 2, 3, 1, 5]"
34,"84*A@t=777 < 38-H_HnSnt@t=(666,788)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
35,"35*jc@t=677 >= min mM_a@t=(34,369)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
36,Tqs+42@t=254 < q__x@t=957,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
37,"9-HFUvHta@t=(157,397) <= max KMf@t=(124,691)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
38,"max MAmTU@t=(197,365) > WwvB@t=(619,769)","[2, 3, 1, 5, 6, 3, 1, 5]"
39,"max L@t=(523,590) == 21+MisnXyn_i@t=(806,839)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
40,"UN_kj__x@t=287 == 92+oGE@t=(553,843)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
41,"M__Tar_xw@t=(340,458) <= Ceh@t=920","[3, 1, 5, 6, 3, 1, 4]"
42,"55*OvNRKE@t=572 != V_ndkmEoDC*77@t=(411,728)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
43,"JKJ___B**19@t=(52,921) > NBfvV@t=979**76","[3, 7, 4, 1, 5, 6, 3, 1, 4, 7, 4]"
44,74+dHEFsAa_Qu@t=813 < 92**kn@t=565,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
45,"uhEmuUyh_X@t=272*88 == max SXUiReHJ@t=(159,918)","[3, 1, 4, 7, 4, 6, 2, 3, 1, 5]"
46,"Ww_gj@t=(374,875)*61 != pWlTcw@t=(392,674)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
47,"_rmh_i@t=827/28 == q@t=(226,402)+33","[3, 1, 4, 7, 4, 6, 3, 1, 5, 7, 4]"
48,qZbIlk_**8@t=555 >= 42+__rJ__@t=935,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
49,__pZoC_sc@t=495 == ZnA**63@t=261,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
50,"ft_QJ___E@t=533/92 == 76**_KcZ@t=(100,651)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
51,"__V__j_@t=(336,782) == 54+______O@t=(799,844)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
52,"y_Z@t=(75,403)*29 >= 89*eLBaMEi@t=318","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
53,"mean D_o_uOLrD@t=(145,275) >= _S_IKbSJsN@t=(40,750)","[2, 3, 1, 5, 6, 3, 1, 5]"
54,"59+_wF@t=(826,978) < min fqkMqHmR@t=(362,525)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
55,"96**h__SEReoE@t=535 > lW@t=(133,766)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
56,"max __hnLOx_@t=(159,944) <= _yErUnqKc@t=880","[2, 3, 1, 5, 6, 3, 1, 4]"
57,"uQlF@t=175*50 <= 26*_dR_w@t=(312,865)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
58,"69**RLnuM_B_@t=(669,812) != 11-g_@t=439","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
59,"87/___zWov@t=(241,424) != N_yWzxPFr-1@t=150","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
60,"hLVsQdq_@t=453 == __b_qCoUF@t=(483,957)","[3, 1, 4, 6, 3, 1, 5]"
61,"53+q__awp@t=763 == p_wF*12@t=(166,726)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
62,"93/xQ_Y__hO@t=(778,886) != k_Wg*11@t=583","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
63,mA__j+97@t=946 >= B@t=672,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
64,_o_BBtxxHn@t=990 <= zcQngipcrm/4@t=560,"[3, 1, 4, 6, 3, 7, 4, 1, 4]"
65,1-iuoOMGhgE_@t=225 <= rnJNDWPND_@t=696,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
66,"r@t=(78,436) > 61**hP@t=(5,123)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
67,"mean l@t=(400,687) == KlyvJX@t=(746,912)/3","[2, 3, 1, 5, 6, 3, 1, 5, 7, 4]"
68,"WBD_swvdh@t=751 != 86-__QpMS_ZV@t=(200,620)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
69,"min uihlBCsFOf@t=(141,401) != sz_vM@t=570-1","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
70,"tmAwC__c_@t=(303,636)*14 == Iy__nwH**86@t=832","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 4]"
71,"WOxuwAOPJC@t=(763,775) < 94/_NQ@t=153","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
72,IE@t=559 >= 15+oy_xC@t=514,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
